90,0,0,7,49,4,16,3,9,2376,65775
71,0,0,9,81,4,16,3,9,2472,194713
35,0,0,11,121,5,25,5,25,5693,44135
80,0,0,11,121,5,25,5,25,5693,44367
80,0,0,7,49,3,9,3,9,1920,152895
93,0,0,6,36,3,9,3,9,2085,83635
95,0,0,8,64,4,16,4,16,3568,138956
95,0,0,8,64,4,16,3,9,3548,55756
97,0,0,7,49,3,9,2,4,1720,128502
0,0,0,6,36,3,9,2,4,1850,131115
476,0,0,8,64,4,16,3,9,4408,98010
95,0,0,7,49,3,9,3,9,2904,98445
80,0,0,7,49,4,16,3,9,2224,98445
86,0,0,12,144,4,16,4,16,5432,92347
0,0,0,7,49,3,9,2,4,1704,98010
76,0,0,7,49,3,9,3,9,1936,98881
29,0,0,8,64,4,16,4,16,3871,145490
68,0,0,7,49,3,9,3,9,3348,103237
85,0,0,8,64,4,16,3,9,3560,104544
72,0,0,8,64,4,16,3,9,4288,99752
90,0,0,7,49,3,9,2,4,1400,14374
204,0,0,8,64,4,16,3,9,3349,104979
293,0,0,8,64,4,16,3,9,2168,29620
80,0,0,6,36,3,9,2,4,1372,15246
95,0,0,8,64,4,16,3,9,3044,14810
80,0,0,7,49,4,16,3,9,1880,8276
78,0,0,8,64,4,16,2,4,1525,41817
80,0,0,7,49,3,9,3,9,2138,154638
84,0,0,7,49,3,9,3,9,2300,46609
100,0,0,6,36,3,9,3,9,1780,47480
0,0,0,6,36,3,9,3,9,1780,47480
95,0,0,7,49,3,9,3,9,2272,3484
0,0,0,5,25,3,9,2,4,1386,9147
0,0,0,5,25,3,9,2,4,1386,9147
88,0,0,11,121,5,25,3,9,3048,46609
74,0,0,8,64,4,16,3,9,3433,62290
78,0,0,7,49,3,9,3,9,2600,46609
0,0,0,9,81,4,16,4,16,3064,116741
80,0,0,10,100,5,25,3,9,3388,78408
95,0,0,8,64,4,16,4,16,3068,64904
95,0,0,8,64,4,16,3,9,2250,61855
90,0,0,8,64,4,16,4,16,3416,73616
0,0,0,8,64,4,16,3,9,2355,52272
255,0,0,11,121,3,9,3,9,3458,208216
65,0,0,10,100,4,16,4,16,3400,140698
62,0,0,8,64,4,16,4,16,3948,136778
80,0,0,7,49,0,0,3,9,2436,48787
79,0,0,7,49,3,9,3,9,1560,2613
0,0,0,7,49,3,9,3,9,1280,4791
59,0,0,7,49,3,9,3,9,1560,2613
100,0,0,7,49,3,9,3,9,1040,2613
75,0,0,7,49,3,9,3,9,1800,5662
0,0,0,7,49,3,9,3,9,1960,2613
98,0,0,9,81,4,16,3,9,2490,8712
0,0,0,9,81,4,16,4,16,2969,26571
90,0,0,8,64,4,16,3,9,2164,25264
38,0,0,9,81,4,16,3,9,4569,22215
0,0,0,10,100,4,16,4,16,4310,22215
90,0,0,10,100,4,16,4,16,4310,22215
58,0,0,8,64,4,16,3,9,2172,22651
85,0,0,9,81,4,16,4,16,4784,26136
0,0,0,8,64,4,16,3,9,2506,24394
90,0,0,9,81,4,16,3,9,2980,22651
80,0,0,8,64,4,16,3,9,4024,23086
73,0,0,9,81,1,1,4,16,3320,22651
95,0,0,8,64,4,16,3,9,4378,23522
0,0,0,7,49,3,9,3,9,2325,25264
90,0,0,7,49,3,9,3,9,2325,25264
0,0,0,8,64,4,16,3,9,2172,22651
